datetime;open;high;low;close;volume
2010-02-11;0.20343800;0.21744800;0.20278600;0.21627600;6912000
2010-02-12;0.21039100;0.21903600;0.20916700;0.21716100;17203200
2010-02-16;0.22226600;0.22609399;0.21877600;0.22557300;19238400
2010-02-17;0.22859401;0.22945300;0.22515599;0.22940101;38361600
2010-02-18;0.22916700;0.23513000;0.22778600;0.23375000;77721600
2010-02-19;0.23216100;0.23679700;0.23039100;0.23375000;92966400
2010-02-22;0.23650999;0.23650999;0.22947900;0.23210900;50995200
2010-02-23;0.23083299;0.23208299;0.21997400;0.22304700;82252800
2010-02-24;0.22697900;0.23242199;0.22575501;0.22979200;70617600
2010-02-25;0.22244801;0.23122400;0.21799500;0.22966100;91238400
2010-02-26;0.22898400;0.23349001;0.22671901;0.23252600;57600000
2010-03-01;0.23546900;0.24349000;0.23546900;0.24250001;28454400
2010-03-02;0.24463500;0.24921900;0.24330699;0.24395800;48422400
2010-03-03;0.24669300;0.24882799;0.24294300;0.24531300;47961600
2010-03-04;0.24617200;0.24835899;0.24234401;0.24802101;29452800
2010-03-05;0.25330701;0.26012999;0.25195301;0.25898400;26880000
2010-03-08;0.25921899;0.26223999;0.25921899;0.26036501;25344000
2010-03-09;0.25893199;0.26903600;0.25872400;0.26497400;46425600
2010-03-10;0.26533899;0.27307299;0.26515600;0.27145800;40089600
2010-03-11;0.26981801;0.27434900;0.26802099;0.27395800;53913600
2010-03-12;0.27697900;0.27697900;0.27143201;0.27458301;36134400
2010-03-15;0.27276000;0.27460900;0.26692700;0.27273399;42393600
2010-03-16;0.27541700;0.27867201;0.27255201;0.27789101;46579200
2010-03-17;0.27867201;0.28377599;0.27750000;0.27981800;39820800
2010-03-18;0.28078100;0.28354201;0.27893201;0.28265601;52185600
2010-03-19;0.27765599;0.28575501;0.27468801;0.27765599;40051200
2010-03-22;0.27440101;0.28849000;0.27335900;0.28515601;58790400
2010-03-23;0.28710899;0.29174501;0.28265601;0.29111999;55334400
2010-03-24;0.28906301;0.28968799;0.28515601;0.28697899;89241600
2010-03-25;0.29398400;0.29705700;0.28494799;0.28518200;93926400
2010-03-26;0.28924501;0.29216099;0.28216100;0.28666699;84288000
2010-03-29;0.29099000;0.29356799;0.28846401;0.29059899;38054400
2010-03-30;0.29299501;0.29617199;0.28768200;0.29364601;39897600
2010-03-31;0.29036501;0.29427099;0.28768200;0.28968799;59558400
2010-04-01;0.29291701;0.29851601;0.28263000;0.28911501;116620800
2010-04-05;0.29122400;0.29921901;0.28906301;0.29747400;67584000
2010-04-06;0.29520801;0.30244800;0.29333299;0.29973999;58713600
2010-04-07;0.29872400;0.30197901;0.29283899;0.29804701;106252800
2010-04-08;0.29502600;0.30085900;0.29052100;0.29911500;69657600
2010-04-09;0.30010399;0.30523399;0.29778600;0.30450499;58099200
2010-04-12;0.30554700;0.30807301;0.30354199;0.30572900;48806400
2010-04-13;0.30474001;0.31083301;0.30197901;0.31033900;67238400
2010-04-14;0.31476599;0.32153600;0.31411499;0.32127601;61094400
2010-04-15;0.32093799;0.32677099;0.32065099;0.32557300;45772800
2010-04-16;0.32213500;0.32528600;0.30794299;0.31398401;129484800
2010-04-19;0.31104201;0.31635401;0.30208299;0.31349000;112742400
2010-04-20;0.31835899;0.32031301;0.31239599;0.31812501;56102400
2010-04-21;0.32458299;0.32648399;0.31770799;0.32372400;83980800
2010-04-22;0.31427100;0.32960901;0.30890599;0.32851601;122841600
2010-04-23;0.32882801;0.33390599;0.32494801;0.33286500;82368000
2010-04-26;0.33309901;0.33559901;0.32877600;0.33039099;80524800
2010-04-27;0.32718799;0.33067700;0.30729201;0.31000000;133747200
2010-04-28;0.31476599;0.31507799;0.30320299;0.31072900;125068800
2010-04-29;0.31505200;0.32815099;0.31502599;0.32658899;84748800
2010-04-30;0.32609400;0.32763001;0.30653599;0.30734399;88512000
2010-05-03;0.31093800;0.32453099;0.31085899;0.31989601;52608000
2010-05-04;0.30778599;0.30781299;0.28466100;0.29161501;137241600
2010-05-05;0.28247401;0.29195300;0.27708301;0.28682300;138508800
2010-05-06;0.28091100;0.28900999;0.17708300;0.25872400;217804800
2010-05-07;0.25187501;0.26127601;0.22320300;0.23989600;248256000
2010-05-10;0.27018201;0.27648401;0.26869801;0.27567700;189273600
2010-05-11;0.26789099;0.28645799;0.26632801;0.27549499;147033600
2010-05-12;0.27927101;0.29093799;0.27822900;0.29033899;108556800
2010-05-13;0.28755200;0.29359400;0.27546901;0.27721399;105561600
2010-05-14;0.27041700;0.27078101;0.25130200;0.26015601;154176000
2010-05-17;0.26268199;0.26658899;0.24687500;0.26367199;136857600
2010-05-18;0.27010399;0.27161500;0.24895801;0.25359401;190617600
2010-05-19;0.24921900;0.25520799;0.23809899;0.24690101;237772800
2010-05-20;0.23195300;0.23362000;0.21731800;0.22192700;272985600
2010-05-21;0.20841099;0.23054700;0.20619801;0.22364600;234316800
2010-05-24;0.22487000;0.23320299;0.22289100;0.22549500;155020800
2010-05-25;0.20874999;0.22460900;0.20208301;0.22390600;172646400
2010-05-26;0.22736999;0.23671900;0.21531300;0.21697900;208320000
2010-05-27;0.23143201;0.24106801;0.22955699;0.24046899;173222400
2010-05-28;0.24205700;0.24273400;0.23046900;0.23710901;166694400
2010-06-01;0.23460899;0.24671900;0.22916700;0.23054700;202713600
2010-06-02;0.234375;0.24677099;0.22937500;0.24677099;113433600
2010-06-03;0.24859400;0.25458300;0.24390601;0.25317699;114854400
2010-06-04;0.23729201;0.24674501;0.22484399;0.22817700;245952000
2010-06-07;0.23039100;0.23291700;0.21458299;0.21494800;168729600
2010-06-08;0.21648400;0.21791700;0.20523401;0.21375000;265920000
2010-06-09;0.21807300;0.22419301;0.20664100;0.20903599;229440000
2010-06-10;0.21632800;0.22682300;0.21455701;0.22638001;155520000
2010-06-11;0.21934900;0.23320299;0.21934900;0.23229200;125337600
2010-06-14;0.23919301;0.24377599;0.23148400;0.23242199;227404800
2010-06-15;0.23627600;0.25210899;0.23557299;0.24940100;200102400
2010-06-16;0.24919300;0.25781301;0.24796900;0.25442699;158361600
2010-06-17;0.25841099;0.25880200;0.25036499;0.25697899;163046400
2010-06-18;0.25830701;0.26286501;0.25510401;0.25768200;139584000
2010-06-21;0.26708299;0.26822901;0.24666700;0.25091100;219916800
2010-06-22;0.25380200;0.25932300;0.24369800;0.24497400;179596800
2010-06-23;0.24588500;0.24841100;0.23619799;0.24169300;224716800
2010-06-24;0.23880200;0.24088500;0.22864600;0.22997400;239424000
2010-06-25;0.23296900;0.23557299;0.22492200;0.22981800;177561600
2010-06-28;0.23000000;0.23343800;0.22281300;0.22776000;164160000
2010-06-29;0.21705700;0.21744800;0.19635400;0.20234400;438220800
2010-06-30;0.19932300;0.20502600;0.19075499;0.19234399;183667200
2010-07-01;0.19341099;0.19502600;0.17932300;0.19046900;252326400
2010-07-02;0.19096400;0.19317700;0.18359400;0.18942700;147379200
2010-07-06;0.19666700;0.20028600;0.18562500;0.19041701;156556800
2010-07-07;0.19205700;0.20898400;0.19158900;0.20841099;160780800
2010-07-08;0.21341100;0.21424501;0.20458300;0.21192700;207360000
2010-07-09;0.21138000;0.21875;0.21026000;0.21786501;142656000
2010-07-12;0.21705700;0.22362000;0.21572900;0.22033900;98918400
2010-07-13;0.22549500;0.23078100;0.22062500;0.22786500;174144000
2010-07-14;0.22981800;0.23539101;0.22684900;0.23151000;109516800
2010-07-15;0.23054700;0.23434900;0.22304700;0.23231800;114201600
2010-07-16;0.23028600;0.23057300;0.21260400;0.21362001;181363200
2010-07-19;0.21484400;0.21979199;0.20966101;0.21843800;124224000
2010-07-20;0.20760401;0.22624999;0.20593800;0.22533900;127948800
2010-07-21;0.23385400;0.23385400;0.21599001;0.21744800;172492800
2010-07-22;0.22593801;0.23658900;0.22593801;0.23210900;126451200
2010-07-23;0.22885400;0.23843800;0.22757800;0.23815100;138854400
2010-07-26;0.23919301;0.24406300;0.23585901;0.24338500;100761600
2010-07-27;0.24697900;0.24807300;0.24028599;0.24333300;119692800
2010-07-28;0.24283899;0.24588500;0.23515600;0.23835900;77568000
2010-07-29;0.24166700;0.24322900;0.22531299;0.23268200;152755200
2010-07-30;0.22677100;0.23812500;0.22268200;0.23427100;129830400
2010-08-02;0.24294300;0.24869800;0.24026000;0.24687500;90163200
2010-08-03;0.24640600;0.24718800;0.24046899;0.24432300;64012800
2010-08-04;0.24752600;0.25208300;0.24432300;0.25138000;80908800
