datetime;open;high;low;close;volume;adjclose
1993-01-25;43.96875;43.96875;43.75;43.9375;1003200;24.11324691772461
1993-02-01;43.96875;45.09375;43.96875;44.96875;2234800;24.679218292236328
1993-02-08;44.96875;45.125;44.53125;44.59375;1159800;24.47341537475586
1993-02-15;44.46875;44.46875;42.8125;43.5625;998700;23.90745735168457
1993-02-22;43.6875;44.4375;43.46875;44.40625;1024300;24.370513916015625
1993-03-01;44.5625;45.1875;44.21875;44.75;658500;24.559165954589844
1993-03-08;44.84375;45.84375;44.8125;45.09375;1129000;24.74782371520996
1993-03-15;45.0625;45.5;44.96875;45.03125;489600;24.830236434936523
1993-03-22;44.59375;45.25;44.5625;44.90625;487400;24.761308670043945
1993-03-29;44.9375;45.46875;44.09375;44.09375;443600;24.313291549682617
1993-04-05;44.4375;44.53125;44.0625;44.28125;510700;24.416688919067383
1993-04-12;44.71875;45.15625;44.65625;44.9375;810700;24.778541564941406
1993-04-19;44.9375;45.0625;43.6875;43.75;708100;24.123760223388672
1993-04-26;43.78125;44.28125;43.28125;44.03125;478800;24.27883529663086
1993-05-03;44.09375;44.75;43.90625;44.34375;461300;24.451154708862305
1993-05-10;44.40625;44.6875;43.96875;44.0;380100;24.2615966796875
1993-05-17;44.125;45.25;43.84375;44.75;509000;24.675161361694336
1993-05-24;44.84375;45.65625;44.84375;45.21875;457600;24.933626174926758
1993-05-31;45.375;45.8125;45.09375;45.28125;102200;24.96808433532715
1993-06-07;45.375;45.375;44.71875;45.09375;934500;24.864696502685547
1993-06-14;45.15625;45.1875;44.5;44.5;633400;24.711217880249023
1993-06-21;44.625;44.90625;44.21875;44.78125;682900;24.867387771606445
1993-06-28;45.0;45.28125;44.53125;44.6875;1976100;24.81533432006836
1993-07-05;44.625;44.96875;44.15625;44.96875;1216500;24.971506118774414
1993-07-12;44.90625;45.1875;44.65625;44.75;2040800;24.850040435791016
1993-07-19;44.75;44.84375;44.46875;44.71875;1318000;24.83268165588379
1993-07-26;44.84375;45.21875;44.78125;44.84375;651200;24.9020938873291
1993-08-02;44.90625;45.1875;44.84375;44.96875;996000;24.971506118774414
1993-08-09;45.09375;45.34375;44.90625;45.125;2382500;25.058269500732422
1993-08-16;45.15625;45.875;45.15625;45.8125;1134600;25.440067291259766
1993-08-23;45.625;46.53125;45.625;46.25;677000;25.683000564575195
1993-08-30;46.28125;46.59375;46.25;46.375;1489400;25.752416610717773
1993-09-06;46.375;46.4375;45.59375;46.40625;812000;25.769752502441406
1993-09-13;46.5625;46.5625;45.75;45.8125;607600;25.59857177734375
1993-09-20;45.875;45.96875;44.8125;45.78125;957700;25.581100463867188
1993-09-27;46.125;46.3125;45.8125;46.15625;775900;25.79063606262207
1993-10-04;46.21875;46.375;45.71875;46.0625;1798000;25.73825454711914
1993-10-11;46.15625;47.15625;46.15625;47.0625;2243000;26.297019958496094
1993-10-18;47.03125;47.03125;46.375;46.375;2279800;25.912864685058594
1993-10-25;46.40625;46.96875;46.28125;46.84375;629400;26.174787521362305
1993-11-01;46.78125;47.0;45.53125;46.0625;1271200;25.73825454711914
1993-11-08;46.09375;46.75;45.96875;46.59375;858100;26.03510856628418
1993-11-15;46.6875;46.8125;46.21875;46.3125;1122300;25.87794303894043
1993-11-22;46.1875;46.59375;45.875;46.5;1352000;25.982711791992188
1993-11-29;46.625;46.71875;46.25;46.71875;1784700;26.10494041442871
1993-12-06;46.78125;46.9375;46.5;46.59375;1164400;26.03510856628418
1993-12-13;46.59375;46.90625;46.375;46.5625;580600;26.19573211669922
1993-12-20;46.53125;46.84375;46.40625;46.75;1218600;26.301227569580078
1993-12-27;46.75;47.15625;46.5625;46.59375;2127200;26.21333122253418
1994-01-03;46.59375;47.0625;46.40625;47.03125;2812600;26.459463119506836
1994-01-10;47.09375;47.59375;46.96875;47.40625;1428800;26.670425415039062
1994-01-17;47.40625;47.53125;47.25;47.375;751600;26.652843475341797
1994-01-24;47.34375;48.03125;47.09375;47.875;1530300;26.934141159057617
1994-01-31;48.0625;48.3125;46.96875;46.96875;2794300;26.424283981323242
1994-02-07;46.84375;47.4375;46.8125;47.15625;2252500;26.52978515625
1994-02-14;47.0625;47.6875;46.75;46.875;4060100;26.371540069580078
1994-02-21;47.0;47.4375;46.5625;46.8125;1848300;26.336393356323242
1994-02-28;46.9375;47.0625;45.90625;46.6875;2157100;26.26606559753418
1994-03-07;46.84375;47.0;46.40625;46.84375;4704200;26.35396385192871
1994-03-14;47.03125;47.3125;46.71875;46.96875;2048500;26.576717376708984
1994-03-21;46.8125;47.0625;45.9375;45.9375;2760400;25.993196487426758
1994-03-28;46.0;46.0625;43.53125;44.59375;3368300;25.232858657836914
1994-04-04;43.34375;45.125;43.34375;44.6875;5231300;25.285903930664062
1994-04-11;44.8125;45.0625;44.25;44.59375;2783800;25.232858657836914
1994-04-18;44.640625;45.046875;43.984375;44.859375;1851400;25.383153915405273
1994-04-25;44.84375;45.359375;44.8125;45.09375;1562500;25.51578140258789
1994-05-02;45.09375;45.71875;44.59375;44.75;1736400;25.321273803710938
1994-05-09;44.625;44.84375;44.171875;44.515625;1919800;25.188644409179688
1994-05-16;44.609375;45.859375;44.5;45.5625;2646800;25.7810115814209
1994-05-23;45.515625;45.9375;45.34375;45.875;2082100;25.957839965820312
1994-05-30;45.734375;46.390625;45.5625;46.234375;966000;26.161178588867188
1994-06-06;46.328125;46.46875;45.78125;46.109375;515400;26.090456008911133
1994-06-13;46.046875;46.5625;45.8125;45.875;861300;26.12946128845215
1994-06-20;45.546875;45.625;44.0;44.0625;1832800;25.097097396850586
1994-06-27;44.234375;45.015625;44.015625;44.5625;6744100;25.381879806518555
1994-07-04;44.65625;44.984375;44.46875;44.90625;501900;25.57769012451172
1994-07-11;44.9375;45.484375;44.515625;45.390625;1457300;25.85356330871582
1994-07-18;45.390625;45.578125;45.0625;45.34375;1105000;25.826858520507812
1994-07-25;45.359375;46.046875;45.171875;45.90625;1981000;26.147247314453125
1994-08-01;45.9375;46.375;45.65625;45.78125;1506000;26.07606315612793
1994-08-08;45.828125;46.34375;45.71875;46.328125;2335100;26.387550354003906
1994-08-15;46.375;46.734375;46.15625;46.421875;2272300;26.44095802307129
1994-08-22;46.4375;47.78125;46.28125;47.6875;1089900;27.161813735961914
1994-08-29;47.8125;47.984375;47.21875;47.296875;1136700;26.939321517944336
1994-09-05;47.265625;47.5625;46.8125;47.0;1030900;26.770233154296875
1994-09-12;47.0;47.640625;46.78125;47.015625;2293200;26.941987991333008
1994-09-19;47.125;47.328125;45.734375;45.90625;1363400;26.306276321411133
1994-09-26;46.078125;46.53125;45.984375;46.171875;1227600;26.458480834960938
1994-10-03;46.203125;46.296875;45.0;45.453125;1152600;26.046630859375
1994-10-10;45.65625;47.328125;45.640625;47.046875;2474700;26.959918975830078
1994-10-17;47.0;47.234375;46.359375;46.5625;929200;26.682350158691406
1994-10-24;46.578125;47.703125;46.0;47.65625;844800;27.309114456176758
1994-10-31;47.546875;47.59375;46.328125;46.328125;798500;26.54804229736328
1994-11-07;46.4375;47.328125;46.28125;46.40625;1216100;26.592823028564453
1994-11-14;46.609375;47.09375;46.265625;46.46875;979200;26.628618240356445
1994-11-21;46.4375;46.578125;44.609375;45.46875;1445600;26.055580139160156
1994-11-28;45.453125;45.953125;45.046875;45.5625;1161700;26.10930633544922
1994-12-05;45.65625;45.8125;44.6875;45.046875;1418400;25.81383514404297
1994-12-12;44.953125;46.03125;44.953125;45.75;821500;26.42578125
1994-12-19;45.75;46.265625;45.609375;46.0625;2688100;26.606273651123047
1994-12-26;46.21875;46.40625;45.5625;45.5625;2883000;26.31748390197754
1995-01-02;45.703125;46.25;45.6875;46.046875;1214300;26.59725570678711
1995-01-09;46.03125;46.734375;45.8125;46.734375;699900;26.994352340698242
1995-01-16;46.71875;47.078125;46.453125;46.546875;496900;26.886062622070312
1995-01-23;46.234375;47.234375;46.203125;47.109375;202800;27.210969924926758
1995-01-30;47.015625;48.109375;46.84375;48.03125;1071100;27.74345588684082
1995-02-06;48.015625;48.46875;47.96875;48.359375;2168800;27.932971954345703
1995-02-13;48.328125;48.765625;48.25;48.453125;829800;27.98712921142578
1995-02-20;48.453125;49.15625;48.421875;49.0;1264800;28.303016662597656
1995-02-27;48.859375;49.03125;48.484375;48.78125;1795600;28.176677703857422
1995-03-06;48.453125;49.390625;48.21875;49.265625;678100;28.456438064575195
1995-03-13;49.234375;49.8125;49.171875;49.5625;873400;28.782878875732422
1995-03-20;49.625;50.21875;49.328125;50.21875;625500;29.16398048400879
1995-03-27;50.296875;50.890625;49.546875;50.109375;1339800;29.100473403930664
1995-04-03;50.09375;50.859375;50.0625;50.703125;1081300;29.445280075073242
1995-04-10;50.625;51.09375;50.59375;51.078125;930000;29.663066864013672
1995-04-17;51.265625;51.3125;50.296875;50.890625;1084300;29.554180145263672
1995-04-24;50.859375;51.671875;50.859375;51.59375;1299600;29.962493896484375
1995-05-01;51.546875;52.6875;51.390625;52.1875;2098100;30.30733299255371
1995-05-08;52.140625;52.875;52.09375;52.75;1140300;30.63397979736328
1995-05-15;52.890625;53.15625;51.90625;52.09375;1499700;30.25286102294922
1995-05-22;52.265625;53.421875;52.234375;52.5625;1622100;30.525104522705078
1995-05-29;52.6875;53.921875;52.375;53.546875;1549000;31.09675407409668
1995-06-05;53.546875;54.046875;52.75;53.0625;910900;30.815475463867188
1995-06-12;53.234375;54.234375;53.203125;53.96875;1487500;31.525829315185547
1995-06-19;54.125;55.15625;54.09375;55.015625;1193000;32.137359619140625
1995-06-26;54.859375;54.953125;54.0625;54.40625;1276500;31.781373977661133
1995-07-03;54.46875;55.78125;54.46875;55.765625;1103000;32.57545852661133
1995-07-10;55.8125;56.3125;55.453125;56.046875;1783600;32.739768981933594
1995-07-17;56.125;56.421875;54.203125;55.40625;1292200;32.365516662597656
1995-07-24;55.484375;56.703125;55.484375;56.296875;986900;32.88579177856445
1995-07-31;56.34375;56.796875;55.453125;55.984375;2158000;32.703243255615234
1995-08-07;56.109375;56.3125;55.421875;55.65625;1790100;32.511558532714844
1995-08-14;55.796875;56.40625;55.65625;56.171875;1113300;32.812774658203125
1995-08-21;56.40625;56.640625;55.75;56.296875;1025800;32.88579177856445
1995-08-28;56.453125;56.75;55.765625;56.65625;2985300;33.09571838378906
1995-09-04;56.828125;57.546875;56.734375;57.546875;852800;33.6159782409668
1995-09-11;57.640625;58.8125;57.578125;58.4375;1528800;34.318424224853516
1995-09-18;58.234375;58.78125;57.78125;58.3125;2106300;34.245033264160156
1995-09-25;58.375;58.90625;57.59375;58.484375;2313800;34.34595489501953
1995-10-02;58.484375;58.625;57.953125;58.40625;1725700;34.30009460449219
1995-10-09;58.1875;58.859375;57.265625;58.625;1635000;34.428558349609375
1995-10-16;58.453125;59.1875;58.296875;58.828125;2066700;34.54782485961914
1995-10-23;58.546875;58.890625;57.28125;58.1875;2520500;34.17161178588867
1995-10-30;58.328125;59.25;58.234375;59.234375;2353600;34.78641128540039
1995-11-06;59.21875;59.609375;58.625;59.53125;2325900;34.96076583862305
1995-11-13;59.421875;60.203125;59.078125;60.1875;2589700;35.34616470336914
1995-11-20;60.28125;60.375;59.859375;60.328125;982000;35.42873001098633
1995-11-27;60.453125;61.203125;60.15625;60.984375;2052600;35.81412887573242
1995-12-04;61.125;62.53125;61.046875;62.15625;2058800;36.50233840942383
1995-12-11;62.28125;62.796875;61.59375;61.8125;1688300;36.524898529052734
1995-12-18;61.265625;61.515625;60.578125;61.203125;4425100;36.16481018066406
1995-12-25;61.453125;61.65625;61.25;61.484375;1179400;36.330997467041016
1996-01-01;61.40625;62.625;61.171875;61.59375;2556800;36.39561462402344
1996-01-08;61.8125;62.0625;59.640625;60.234375;2286700;35.592376708984375
1996-01-15;60.25;61.421875;59.859375;61.265625;1611800;36.20173645019531
1996-01-22;61.21875;62.265625;61.109375;62.234375;3181600;36.774173736572266
1996-01-29;62.1875;64.015625;62.140625;63.640625;1895000;37.60511779785156
1996-02-05;63.53125;66.375;63.4375;65.828125;3513200;38.897708892822266
1996-02-12;65.953125;66.6875;64.734375;64.9375;3599400;38.3714599609375
1996-02-19;64.4375;66.609375;63.875;65.9375;3078100;38.96234130859375
1996-02-26;65.75;65.890625;63.609375;64.890625;5242200;38.34375
1996-03-04;65.03125;65.96875;62.0;63.5;4503400;37.52201843261719
1996-03-11;63.25;64.8125;62.90625;64.125;5510800;38.05963134765625
1996-03-18;64.71875;65.9375;64.578125;65.15625;3515500;38.67169189453125
1996-03-25;65.75;65.8125;64.375;64.6875;4040400;38.39348602294922
1996-04-01;65.0;65.71875;64.796875;65.515625;2635100;38.8849983215332
1996-04-08;63.875;64.640625;62.125;63.71875;6024900;37.81850814819336
1996-04-15;64.046875;64.859375;63.84375;64.53125;3142900;38.300758361816406
1996-04-22;65.125;65.8125;64.59375;65.4375;2792100;38.838623046875
1996-04-29;65.15625;65.796875;63.75;64.3125;3595100;38.1709098815918
1996-05-06;64.5625;65.59375;63.078125;65.375;4442800;38.80153274536133
1996-05-13;65.53125;67.3125;65.46875;67.1875;2908000;39.877323150634766
1996-05-20;67.65625;68.4375;66.984375;68.171875;3986300;40.4615364074707
1996-05-27;68.375;68.375;66.75;66.875;2925300;39.69181823730469
1996-06-03;66.890625;68.5;66.1875;67.625;3504300;40.136966705322266
1996-06-10;67.53125;68.03125;66.71875;66.9375;5328300;39.728912353515625
1996-06-17;66.96875;67.21875;66.1875;66.8125;4178800;39.86485290527344
1996-06-24;66.96875;67.5;66.15625;67.109375;3860400;40.04197692871094
1996-07-01;67.28125;67.703125;65.375;65.578125;2011900;39.12833786010742
1996-07-08;65.625;65.984375;63.875;64.5625;5690000;38.52234649658203
1996-07-15;64.71875;64.71875;60.375;63.96875;10081300;38.16806411743164
1996-07-22;63.53125;63.9375;61.625;63.71875;7095100;38.01889419555664
1996-07-29;63.625;66.59375;62.9375;66.5625;6200300;39.7156867980957
1996-08-05;66.578125;66.765625;65.796875;66.21875;3841900;39.51058578491211
1996-08-12;66.25;66.875;66.0;66.84375;3210900;39.88348388671875
1996-08-19;66.859375;67.34375;66.375;66.859375;2690400;39.89280319213867
1996-08-26;66.703125;67.0;65.125;65.328125;3582800;38.97917938232422
1996-09-02;64.46875;66.75;64.375;65.9375;4133700;39.3427619934082
1996-09-09;66.1875;68.625;66.078125;68.5625;4824700;40.909000396728516
1996-09-16;68.65625;69.15625;68.21875;68.640625;3408800;41.166385650634766
1996-09-23;68.46875;69.25;68.15625;68.6875;4270700;41.19451141357422
1996-09-30;68.78125;70.34375;68.4375;70.34375;2844900;42.18783950805664
1996-10-07;70.3125;70.6875;69.375;70.3125;3043600;42.16907501220703
1996-10-14;70.3125;71.3125;69.9375;71.21875;3056900;42.71263122558594
1996-10-21;71.28125;71.625;70.125;70.3125;3411600;42.16907501220703
1996-10-28;70.375;71.15625;69.703125;70.59375;3834300;42.33776092529297
1996-11-04;70.6875;73.4375;70.53125;73.421875;6839400;44.03389358520508
1996-11-11;73.25;74.5;73.015625;74.03125;4667400;44.39936828613281
1996-11-18;74.171875;75.25;73.734375;75.171875;4895600;45.08341979980469
1996-11-25;75.25;76.6875;75.078125;76.015625;6866000;45.58946990966797
1996-12-02;75.921875;76.578125;72.65625;74.3125;10593000;44.56802749633789
1996-12-09;74.6875;75.671875;72.40625;73.3125;9262600;43.968299865722656
1996-12-16;73.5;75.71875;71.875;74.84375;9333600;45.10724639892578
1996-12-23;75.09375;76.03125;74.328125;75.875;3691400;45.728755950927734
1996-12-30;76.125;76.125;72.75;75.09375;6227300;45.25790023803711
1997-01-06;75.09375;76.25;74.125;76.125;7900500;45.87942123413086
1997-01-13;76.5;77.75;75.640625;77.5625;7972100;46.745792388916016
1997-01-20;77.75;79.6875;76.75;76.75;10654400;46.256099700927734
1997-01-27;76.875;79.40625;76.0;78.40625;12941600;47.25429916381836
1997-02-03;78.71875;79.46875;77.125;79.21875;8468600;47.74397659301758
1997-02-10;79.25;81.5625;78.125;81.1875;8227400;48.93051528930664
1997-02-17;81.34375;82.0;80.140625;80.375;4519500;48.440826416015625
1997-02-24;79.96875;81.53125;79.0625;79.15625;8813300;47.70632553100586
1997-03-03;78.75;81.15625;78.6875;80.84375;7331700;48.72330856323242
1997-03-10;80.9375;81.796875;79.0625;79.6875;6911900;48.02647399902344
1997-03-17;79.25;80.109375;77.875;78.4375;10494800;47.454158782958984
1997-03-24;78.5;79.96875;76.15625;77.0;8505200;46.58449172973633
1997-03-31;76.90625;77.125;74.15625;75.84375;16145200;45.88496780395508
1997-04-07;76.1875;77.046875;73.375;73.375;13090200;44.391361236572266
1997-04-14;73.734375;77.0;73.3125;76.5625;12110300;46.3198127746582
1997-04-21;76.75;78.28125;75.46875;76.53125;12368200;46.300899505615234
1997-04-28;76.5;81.671875;76.375;81.4375;11833900;49.26914978027344
1997-05-05;81.65625;83.5625;81.1875;82.625;13166400;49.98758316040039
1997-05-12;82.9375;84.59375;82.875;83.21875;9143300;50.346805572509766
1997-05-19;83.3125;85.21875;82.75;84.78125;5892200;51.29209899902344
1997-05-26;84.375;85.5625;83.125;85.15625;5673700;51.518959045410156
1997-06-02;85.34375;86.4375;84.078125;86.375;6796200;52.25629806518555
1997-06-09;86.4375;90.0;86.34375;89.71875;11120900;54.27928161621094
1997-06-16;89.75;90.5;88.9375;89.578125;8247200;54.40519332885742
1997-06-23;89.40625;90.25;87.34375;88.90625;18783300;53.997108459472656
1997-06-30;88.90625;92.15625;87.875;92.0625;8634800;55.914085388183594
1997-07-07;92.375;92.5;90.03125;91.78125;14276500;55.74323654174805
1997-07-14;91.890625;94.09375;91.0625;91.296875;14547500;55.449073791503906
1997-07-21;91.28125;94.8125;90.6875;94.03125;17775500;57.10978317260742
1997-07-28;94.25;96.03125;93.421875;94.9375;19588000;57.66020584106445
1997-08-04;94.78125;96.625;92.40625;93.375;17039400;56.711204528808594
1997-08-11;93.75;94.546875;89.625;89.78125;27840500;54.52859115600586
1997-08-18;90.375;94.3125;89.34375;92.5625;26486700;56.21773910522461
1997-08-25;92.78125;93.40625;89.71875;90.375;20602500;54.88920593261719
1997-09-01;90.6875;94.4375;90.59375;93.140625;16243500;56.56887435913086
1997-09-08;93.71875;94.28125;90.25;92.65625;20076300;56.27470779418945
1997-09-15;92.65625;96.375;92.1875;95.03125;17871300;57.928863525390625
1997-09-22;95.5;96.203125;93.625;94.46875;18248500;57.58598709106445
1997-09-29;94.5;97.75;94.15625;96.640625;18847500;58.909908294677734
1997-10-06;97.3125;98.5;96.21875;96.875;15010000;59.05278396606445
1997-10-13;97.34375;97.546875;93.0;94.28125;24237100;57.4716682434082
1997-10-20;94.84375;97.5;93.671875;94.0;28179800;57.30022430419922
1997-10-27;93.015625;93.9375;84.375;92.0625;57368700;56.119171142578125
1997-11-03;93.1875;95.28125;91.4375;92.9375;28065700;56.652591705322266
1997-11-10;93.625;93.84375;90.09375;93.0625;28753100;56.728763580322266
1997-11-17;94.375;96.8125;92.75;96.75;23230600;58.97662353515625
1997-11-24;96.0;96.34375;94.625;95.625;13108000;58.29079818725586
1997-12-01;96.21875;99.0;96.03125;98.9375;16459600;60.31000900268555
1997-12-08;98.96875;99.0;94.90625;95.75;17101800;58.367000579833984
1997-12-15;96.25;97.875;92.375;94.78125;23011100;58.006343841552734
1997-12-22;95.4375;95.90625;93.25;93.78125;12534300;57.39437484741211
1997-12-29;94.59375;97.65625;94.4375;97.5625;12416400;59.70852279663086
1998-01-05;97.84375;98.4375;91.90625;92.3125;25860700;56.4954719543457
1998-01-12;91.125;96.6875;90.90625;96.3125;28343400;58.943450927734375
1998-01-19;96.6875;98.015625;95.0;95.9375;20684800;58.71398162841797
1998-01-26;96.375;99.5625;95.40625;98.3125;27332500;60.16751480102539
1998-02-02;99.90625;101.625;99.71875;101.625;22667300;62.19477081298828
1998-02-09;101.71875;102.9375;100.71875;102.0;17181800;62.42426300048828
1998-02-16;102.8125;103.71875;102.15625;103.65625;13157700;63.437904357910156
1998-02-23;104.25;105.53125;102.9375;105.125;16726900;64.33678436279297
1998-03-02;105.25;105.9375;103.15625;105.9375;26169900;64.83404541015625
1998-03-09;105.53125;108.0;105.25;107.09375;18355000;65.54167938232422
1998-03-16;107.84375;110.1875;107.53125;109.875;15427700;67.43700408935547
1998-03-23;109.71875;111.53125;109.0;109.625;18329100;67.28355407714844
1998-03-30;109.625;112.8125;108.96875;112.59375;19672700;69.10566711425781
1998-04-06;113.25;113.375;109.75;111.1875;19470200;68.2425308227539
1998-04-13;111.375;112.4375;110.0;112.28125;24363200;68.91383361816406
1998-04-20;112.0;113.4375;110.34375;110.8125;26749300;68.01238250732422
1998-04-27;109.375;112.59375;107.625;112.59375;41418000;69.10566711425781
1998-05-04;112.71875;113.3125;109.34375;111.125;30101100;68.20418548583984
1998-05-11;111.5625;112.6875;110.34375;111.03125;27726600;68.14665985107422
1998-05-18;110.71875;112.78125;109.828125;111.25;27646200;68.28094482421875
1998-05-25;112.09375;112.09375;107.578125;109.03125;26782100;66.91918182373047
1998-06-01;108.96875;112.0;107.875;112.0;34267900;68.74125671386719
1998-06-08;111.9375;113.0625;108.25;110.4375;30907700;67.78225708007812
1998-06-15;108.8125;111.78125;107.5;110.0625;37157100;67.76702117919922
1998-06-22;110.25;114.4375;110.0625;113.6875;29422700;69.99897766113281
1998-06-29;114.25;114.9375;113.0625;114.84375;17231600;70.71092987060547
1998-07-06;114.78125;116.9375;114.5625;116.46875;29732300;71.71148681640625
1998-07-13;116.5625;119.0;116.0625;118.5625;28371300;73.00057983398438
1998-07-20;118.75;119.234375;112.875;114.09375;44925700;70.24913024902344
1998-07-27;113.625;115.0;111.3125;111.78125;45257500;68.82530975341797
1998-08-03;111.78125;112.421875;105.59375;109.125;72464700;67.1898193359375
1998-08-10;108.75;109.65625;105.5;106.125;49420900;65.34266662597656
1998-08-17;106.0;111.09375;105.5;108.5625;49240700;66.84347534179688
1998-08-24;109.25;111.25;102.15625;103.375;74853400;63.64946746826172
1998-08-31;103.75;104.015625;93.625;97.75;96249900;60.18606185913086
1998-09-07;100.875;103.125;96.8125;101.6875;67125300;62.610435485839844
1998-09-14;102.875;105.25;101.09375;102.09375;50014000;63.08259963989258
1998-09-21;99.625;107.0;98.9375;104.25;51170100;64.41493225097656
1998-09-28;105.3125;106.3125;97.21875;100.71875;55061700;62.23299789428711
1998-10-05;99.59375;101.28125;92.21875;98.53125;73110200;60.881317138671875
1998-10-12;100.625;107.25;98.75;106.0;61057200;65.4961929321289
1998-10-19;105.6875;108.796875;105.5;106.84375;46220600;66.01757049560547
1998-10-26;107.71875;110.90625;106.03125;110.0;41077300;67.9677963256836
1998-11-02;110.8125;114.5625;110.1875;114.125;33667300;70.51655578613281
1998-11-09;113.9375;114.25;111.6875;113.21875;42108300;69.95661926269531
1998-11-16;114.21875;116.75;112.890625;116.625;30461600;72.061279296875
1998-11-23;117.46875;119.71875;117.15625;119.5;21426400;73.83773040771484
1998-11-30;119.015625;119.375;115.09375;118.375;47636300;73.14258575439453
1998-12-07;118.0625;119.75;115.5625;117.125;33885300;72.3702163696289
1998-12-14;116.15625;119.125;113.75;118.5;38130000;73.46306610107422
1998-12-21;119.25;123.25;119.0;122.6875;23339900;76.05908966064453
1998-12-28;123.25;124.75;122.0;123.3125;21740600;76.446533203125
1999-01-04;123.375;128.5;121.71875;127.75;36948400;79.19751739501953
1999-01-11;127.6875;127.6875;120.375;124.375;45376100;77.10526275634766
1999-01-18;125.296875;127.9375;121.78125;122.5625;27529300;75.98159790039062
1999-01-25;123.28125;128.296875;121.90625;127.65625;31565200;79.139404296875
1999-02-01;128.6875;128.6875;123.21875;124.0625;44189200;76.91151428222656
1999-02-08;125.09375;126.09375;121.328125;123.625;44309200;76.64026641845703
1999-02-15;124.75;125.75;122.21875;124.25;29134700;77.02774047851562
1999-02-22;124.4375;128.84375;122.6875;123.5625;46991800;76.60151672363281
1999-03-01;123.65625;128.125;121.78125;127.546875;44099600;79.07160949707031
1999-03-08;128.28125;131.1875;127.25;129.375;28515800;80.20494842529297
1999-03-15;129.9375;132.625;129.5;129.6875;23499000;80.59366607666016
1999-03-22;130.0625;130.59375;125.625;128.5625;33397800;79.89453125
1999-03-29;129.15625;131.609375;128.125;129.34375;26362500;80.38008117675781
1999-04-05;130.9375;135.5;130.25;134.875;27695900;83.81745147705078
1999-04-12;133.46875;136.46875;131.0;131.53125;47462500;81.739501953125
1999-04-19;132.6875;136.75;128.375;135.8125;38799500;84.4000244140625
1999-04-26;136.5;137.5;131.5;133.25;35114200;82.80757141113281
1999-05-03;133.4375;135.84375;131.84375;135.0;53439200;83.8951416015625
1999-05-10;134.84375;138.0;131.5;133.78125;39302300;83.13772583007812
1999-05-17;133.625;135.59375;132.375;133.34375;30627700;82.8658447265625
1999-05-24;133.84375;133.84375;128.0;130.203125;59197700;80.91411590576172
1999-05-31;130.125;133.359375;128.015625;133.21875;29551000;82.78813934326172
1999-06-07;133.4375;134.1875;129.09375;129.8125;37470000;80.67134094238281
1999-06-14;130.6875;135.5625;129.546875;134.3125;31428100;83.71984100341797
1999-06-21;134.46875;135.25;130.65625;131.703125;33401900;82.09335327148438
1999-06-28;132.6875;139.5;132.5;139.40625;42553500;86.89488220214844
1999-07-05;139.25;140.75;138.515625;140.5;24530100;87.5766372680664
1999-07-12;140.9375;142.15625;138.65625;141.8125;20926500;88.39474487304688
1999-07-19;142.1875;142.25;135.125;135.75;28547900;84.61587524414062
1999-07-26;134.875;137.3125;132.5625;132.75;27952300;82.74594116210938
1999-08-02;132.75;134.75;128.84375;130.375;35868500;81.26551818847656
1999-08-09;130.59375;133.25;127.0;133.15625;36257100;82.99915313720703
1999-08-16;133.125;134.84375;131.6875;133.90625;23202300;83.46661376953125
1999-08-23;134.8125;138.78125;134.65625;135.0625;31492300;84.18736267089844
1999-08-30;135.34375;136.5;130.65625;135.96875;43026700;84.75222778320312
1999-09-06;136.0625;136.625;133.6875;135.875;19832700;84.69377899169922
1999-09-13;135.125;135.46875;130.3125;133.75;36960900;83.60401916503906
1999-09-20;133.9375;134.0;126.3125;127.75;51145200;79.85356903076172
1999-09-27;128.75;129.75;125.5625;128.46875;44240000;80.30281829833984
1999-10-04;129.1875;133.875;128.6875;133.875;44835700;83.68215942382812
1999-10-11;133.59375;134.125;124.5;124.875;48238300;78.05644989013672
1999-10-18;124.9375;131.21875;123.4375;130.09375;51326100;81.31856536865234
1999-10-25;129.3125;137.6875;127.8125;137.0;41302200;85.63553619384766
1999-11-01;136.5;139.109375;134.59375;137.875;33084700;86.18244934082031
1999-11-08;137.0;139.984375;136.078125;139.75;32185500;87.3544921875
1999-11-15;139.84375;143.0;139.40625;142.5;28514400;89.07344055175781
1999-11-22;142.4375;143.0;140.0;141.4375;16227000;88.40928649902344
1999-11-29;140.875;145.34375;139.0;143.84375;38754500;89.91339111328125
1999-12-06;143.53125;143.71875;139.375;141.875;30066500;88.68278503417969
1999-12-13;141.4375;143.3125;140.03125;142.6875;27459200;89.40957641601562
1999-12-20;142.5625;146.484375;141.09375;146.484375;23689200;91.78871154785156
1999-12-27;146.5;147.5625;145.0625;146.875;16590500;92.03352355957031
2000-01-03;148.25;148.25;137.25;145.75;42725700;91.3285903930664
2000-01-10;146.25;147.46875;142.875;146.96875;32748700;92.09225463867188
2000-01-17;145.34375;147.0;143.8125;144.4375;24691300;90.50611114501953
