ticker;datetime;close
122630;2010-02-22;9675.0
122630;2010-03-01;10245.0
122630;2010-03-08;10525.0
122630;2010-03-15;10825.0
122630;2010-03-22;10900.0
122630;2010-03-29;11370.0
122630;2010-04-05;11400.0
122630;2010-04-12;11410.0
122630;2010-04-19;11385.0
122630;2010-04-26;11455.0
122630;2010-05-03;10135.0
122630;2010-05-10;10685.0
122630;2010-05-17;9565.0
122630;2010-05-24;9800.0
122630;2010-05-31;10360.0
122630;2010-06-07;10500.0
122630;2010-06-14;10930.0
122630;2010-06-21;11060.0
122630;2010-06-28;10240.0
122630;2010-07-05;10965.0
122630;2010-07-12;11180.0
122630;2010-07-19;11400.0
122630;2010-07-26;11410.0
122630;2010-08-02;11725.0
122630;2010-08-09;11105.0
122630;2010-08-16;11540.0
122630;2010-08-23;10930.0
122630;2010-08-30;11530.0
122630;2010-09-06;11820.0
122630;2010-09-13;12160.0
122630;2010-09-20;12280.0
122630;2010-09-27;12765.0
122630;2010-10-04;13005.0
122630;2010-10-11;13055.0
122630;2010-10-18;12895.0
122630;2010-10-25;12595.0
122630;2010-11-01;13465.0
122630;2010-11-08;13225.0
122630;2010-11-15;13620.0
122630;2010-11-22;13250.0
122630;2010-11-29;14075.0
122630;2010-12-06;14565.0
122630;2010-12-13;15170.0
122630;2010-12-20;15360.0
122630;2010-12-27;15965.0
122630;2011-01-03;16440.0
122630;2011-01-10;16655.0
122630;2011-01-17;16030.0
122630;2011-01-24;16650.0
122630;2011-01-31;16150.0
122630;2011-02-07;14695.0
122630;2011-02-14;15145.0
122630;2011-02-21;14425.0
122630;2011-02-28;15090.0
122630;2011-03-07;14150.0
122630;2011-03-14;14695.0
122630;2011-03-21;15790.0
122630;2011-03-28;16810.0
122630;2011-04-04;16835.0
122630;2011-04-11;17010.0
122630;2011-04-18;18045.0
122630;2011-04-25;17890.0
122630;2011-05-02;17095.0
122630;2011-05-09;16520.0
122630;2011-05-16;16385.0
122630;2011-05-23;16200.0
122630;2011-05-30;16420.0
122630;2011-06-06;15275.0
122630;2011-06-13;14950.0
122630;2011-06-20;15820.0
122630;2011-06-27;16325.0
122630;2011-07-04;17205.0
