ticker;datetime;open;high;low;close;volume;adjclose
MMM;2015-01-01;137.71739196777344;138.02674865722656;131.88963317871094;133.61204528808594;14857429;92.31119537353516
MMM;2015-01-08;134.32273864746094;137.44146728515625;132.52508544921875;133.64549255371094;14779211;92.33433532714844
MMM;2015-01-15;134.52340698242188;136.6220703125;133.01840209960938;135.90301513671875;9467536;93.89401245117188
MMM;2015-01-22;136.50502014160156;139.27256774902344;134.56521606445312;137.07357788085938;18888429;94.7027587890625
MMM;2015-01-29;137.18228149414062;138.95484924316406;134.52340698242188;137.80101013183594;16247182;95.20529174804688
MMM;2015-02-05;138.2190704345703;140.20066833496094;136.68060302734375;137.52508544921875;11398598;95.01469421386719
MMM;2015-02-12;137.90133666992188;140.05853271484375;137.83444213867188;139.966552734375;8444477;97.30294036865234
MMM;2015-02-19;139.966552734375;141.85618591308594;138.0685577392578;141.21237182617188;11590198;98.16903686523438
MMM;2015-02-26;141.17892456054688;142.55853271484375;139.18060302734375;139.76588439941406;11680853;97.16344451904297
MMM;2015-03-05;139.8076934814453;140.21739196777344;135.16722106933594;135.2257537841797;11635406;94.00720977783203
MMM;2015-03-12;135.94480895996094;139.59030151367188;135.26756286621094;139.18896484375;14030514;96.76238250732422
MMM;2015-03-19;138.9297637939453;140.1755828857422;136.0033416748047;136.0367889404297;15684942;94.57101440429688
MMM;2015-03-26;135.45150756835938;139.43980407714844;134.7909698486328;135.88629150390625;11585294;94.46638488769531
MMM;2015-04-02;136.6053466796875;140.10870361328125;134.9498291015625;139.02174377441406;10341573;96.6461410522461
MMM;2015-04-09;139.00502014160156;140.21739196777344;137.26588439941406;139.16387939453125;10707190;96.74492645263672
MMM;2015-04-16;138.5702362060547;139.33946228027344;134.7240753173828;137.68394470214844;13538481;95.71612548828125
MMM;2015-04-23;133.3946533203125;134.99163818359375;130.5852813720703;131.24581909179688;22321307;91.24039459228516
MMM;2015-04-30;131.1204071044922;133.65383911132812;130.44314575195312;131.80601501464844;14425435;91.62985229492188
MMM;2015-05-07;131.4632110595703;135.23411560058594;131.4632110595703;134.8745880126953;12318560;93.76304626464844
MMM;2015-05-14;135.52674865722656;136.9314422607422;135.28428649902344;135.36788940429688;12184012;94.10600280761719
MMM;2015-05-21;135.36788940429688;135.744140625;132.97659301757812;134.63211059570312;11147318;94.18635559082031
MMM;2015-05-28;134.0718994140625;134.52340698242188;132.06521606445312;133.9130401611328;13060680;93.68328094482422
MMM;2015-06-04;133.36956787109375;134.09698486328125;130.6856231689453;132.97659301757812;11637918;93.0281753540039
MMM;2015-06-11;133.04347229003906;134.08026123046875;129.90802001953125;131.22909545898438;11585054;91.80565643310547
MMM;2015-06-18;131.76422119140625;134.50668334960938;131.59698486328125;131.722412109375;14845707;92.1507797241211
MMM;2015-06-25;131.98159790039062;132.3745880126953;128.69564819335938;130.1421356201172;14294951;91.04524230957031
MMM;2015-07-02;130.50167846679688;130.50167846679688;127.67558288574219;127.68394470214844;11569147;89.32550811767578
MMM;2015-07-09;129.255859375;131.33779907226562;128.5535125732422;130.43478393554688;11762899;91.24996948242188
MMM;2015-07-16;131.755859375;132.05685424804688;129.13043212890625;129.94146728515625;15085745;90.90486907958984
MMM;2015-07-23;127.0234146118164;128.5033416748047;123.49497985839844;126.63043212890625;20549911;88.58851623535156
MMM;2015-07-30;126.25418090820312;128.12709045410156;124.53177642822266;126.26254272460938;11566876;88.33113861083984
MMM;2015-08-06;126.1622085571289;126.58863067626953;122.13211059570312;124.18060302734375;10587949;86.8746566772461
MMM;2015-08-13;123.74581909179688;124.84114074707031;121.47157287597656;121.96488189697266;10853819;85.32455444335938
MMM;2015-08-20;120.8277587890625;121.50502014160156;112.04013061523438;119.33110046386719;31193234;84.06298828125
MMM;2015-08-27;120.19230651855469;121.19564819335938;115.3344497680664;118.09364318847656;19456169;83.19126892089844
MMM;2015-09-03;118.6789321899414;121.53009796142578;116.3545150756836;117.77591705322266;13009729;82.96743774414062
